sku,商品名,channel,n,median,mean,p25,p50,p60,p70,p75,p90,min,max
20250FE00,點讀圖鑑,WEB,324,17.0,23.08,13.0,17.0,19.0,23.0,25.0,45.0,0,120
20250FE00,點讀圖鑑,TM,307,17,20.96,13.0,17.0,19.0,22.0,25.0,40.0,0,95
20250FE00,點讀圖鑑,KOL,315,19,25.84,15.0,19.0,22.0,26.0,29.5,49.0,1,116
20250FE00,點讀圖鑑,其他,0,,,,,,,,,,
20250FE00,點讀圖鑑,ALL,946,18.0,23.31,14.0,18.0,20.0,24.0,26.0,45.0,0,120
20240FA00,好習慣套組,WEB,258,19.0,25.29,14.0,19.0,22.0,24.0,26.8,55.3,1,117
20240FA00,好習慣套組,TM,590,16.0,18.61,12.0,16.0,18.0,20.0,22.0,29.0,0,116
20240FA00,好習慣套組,KOL,287,18,19.66,13.0,18.0,19.0,21.0,23.5,28.4,0,115
20240FA00,好習慣套組,其他,0,,,,,,,,,,
20240FA00,好習慣套組,ALL,1135,17,20.39,12.0,17.0,19.0,22.0,23.0,33.0,0,117
20250FD00,語彙智育套組,WEB,270,23.0,30.5,17.0,23.0,27.0,31.3,35.0,59.2,2,114
20250FD00,語彙智育套組,TM,464,23.0,25.06,15.0,23.0,25.0,28.0,30.0,39.0,0,114
20250FD00,語彙智育套組,KOL,245,22,25.91,16.0,22.0,25.0,28.0,30.0,47.0,1,110
20250FD00,語彙智育套組,其他,0,,,,,,,,,,
20250FD00,語彙智育套組,ALL,979,23,26.77,16.0,23.0,25.0,29.0,31.0,47.0,0,114
20250FA00,好情緒EQ套組,WEB,832,33.0,34.38,25.0,33.0,36.0,39.0,41.0,54.9,2,108
20250FA00,好情緒EQ套組,TM,1608,36.0,34.8,28.0,36.0,36.0,39.0,42.0,49.0,0,108
20250FA00,好情緒EQ套組,KOL,576,30.0,29.14,21.0,30.0,32.0,35.0,36.0,43.0,0,116
20250FA00,好情緒EQ套組,其他,0,,,,,,,,,,
20250FA00,好情緒EQ套組,ALL,3016,34.0,33.6,25.0,34.0,36.0,38.0,40.0,49.0,0,116
20230MY00,英語Plus初階,WEB,332,30.0,33.34,22.0,30.0,34.6,38.0,40.2,54.9,3,111
20230MY00,英語Plus初階,TM,893,31,31.1,22.0,31.0,35.0,36.0,38.0,48.8,1,89
20230MY00,英語Plus初階,KOL,272,23.0,25.49,17.0,23.0,27.0,30.0,31.2,45.8,0,95
20230MY00,英語Plus初階,其他,0,,,,,,,,,,
20230MY00,英語Plus初階,ALL,1497,29,30.58,20.0,29.0,33.0,36.0,38.0,49.0,0,111
20220MY00,英語進階版,WEB,117,40,42.74,32.0,40.0,45.6,50.0,51.0,62.4,10,112
20220MY00,英語進階版,TM,584,38.0,39.36,29.0,38.0,43.0,48.0,48.0,60.0,2,96
20220MY00,英語進階版,KOL,99,33,33.35,21.0,33.0,36.0,41.0,44.0,54.4,0,90
20220MY00,英語進階版,其他,0,,,,,,,,,,
20220MY00,英語進階版,ALL,800,38.0,39.11,29.0,38.0,43.0,48.0,48.0,60.0,0,112
20250FF00,點讀大冒險,WEB,210,40.0,41.38,33.0,40.0,43.0,45.0,46.0,57.1,12,98
20250FF00,點讀大冒險,TM,213,42,40.98,33.0,42.0,44.0,47.0,48.0,56.0,5,91
20250FF00,點讀大冒險,KOL,159,36,35.44,27.5,36.0,39.0,42.0,43.0,51.0,5,65
20250FF00,點讀大冒險,其他,0,,,,,,,,,,
20250FF00,點讀大冒險,ALL,582,39.5,39.61,32.0,39.5,42.0,45.0,47.0,55.0,5,98
20250FG00,數學套組,WEB,243,45,46.7,38.0,45.0,49.0,52.4,54.0,64.0,3,105
20250FG00,數學套組,TM,266,45.0,44.4,36.2,45.0,48.0,53.0,54.8,59.5,0,91
20250FG00,數學套組,KOL,345,42,40.77,33.0,42.0,46.0,48.0,50.0,54.6,5,118
20250FG00,數學套組,其他,0,,,,,,,,,,
20250FG00,數學套組,ALL,854,44.0,43.59,35.0,44.0,47.0,50.0,52.0,59.0,0,118
20240FM00,注音套組2.0,WEB,374,51.0,49.94,40.0,51.0,54.8,58.0,61.0,70.0,0,111
20240FM00,注音套組2.0,TM,1154,48.0,44.17,36.0,48.0,48.0,53.0,55.0,60.0,0,111
20240FM00,注音套組2.0,KOL,178,41.0,39.39,26.0,41.0,46.0,49.0,52.0,62.0,0,119
20240FM00,注音套組2.0,其他,0,,,,,,,,,,
20240FM00,注音套組2.0,ALL,1706,48.0,44.93,35.0,48.0,49.0,54.0,56.8,64.0,0,119
